"Tag,Description,Status,Type,System,Responsible,Dimensions,Weight,Voltage,Current,Frequency,IP_Rating
E80001,High Voltage Switchgear,Active,Switchgear,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E80002,Transformer Step-up,Active,Transformer,80,Company X,3500x4500x4100 mm,12000 kg,130 kV,1500 A,60 Hz,IP44
E81001,Medium Voltage Distribution Panel,Inactive,Panelboard,81,Area Y,2000x5000x2000 mm,3000 kg,5 kV,2500 A,60 Hz,IP42
E81002,Substation Circuit Breaker,Active,Circuit Breaker,81,Company X,1500x2500x2200 mm,5000 kg,3 kV,1250 A,50 Hz,IP66
E82001,Generator Alternator,Under Maintenance,Alternator,82,Area Z,1000x2000x1500 mm,1500 kg,690 V,300 A,50 Hz,IP21
E82002,Low Voltage Cabling,Active,Cabling,82,Company X,NA,NA,400 V,NA,50 Hz,IP00
E83001,Diesel Generator Set,Active,Generator,83,Area Y,2500x6000x3000 mm,7000 kg,440 V,1000 A,60 Hz,IP56
E84001,Automatic Transfer Switch,Operational,Switch,84,Company X,800x1200x600 mm,100 kg,220 V,600 A,50 Hz,IP65
E85001,Uninterruptible Power Supply (UPS),Active,UPS,85,Area Z,600x800x400 mm,200 kg,240 V,100 A,60 Hz,IP52
E86001,Fiber Optic Communication System,Operational,Communication System,86,Company X,NA,NA,NA,NA,NA,NA
E87001,SCADA Control Console,Operational,Control System,87,Area Y,1500x4000x2000 mm,1500 kg,NA,NA,NA,IP55
E87002,Gas Detection Panel,Active,Detection System,87,Company X,500x600x300 mm,60 kg,24 VDC,NA,NA,IP67
E88001,Earthing Resistance Tester,Operational,Tester,88,Area Z,NA,2 kg,NA,NA,NA,IP54
E89001,Agricultural Drone,Prototype,Drone,89,Company X,300x300x100 mm,1.5 kg,NA,NA,NA,IP65"
